id,idf
0,3.645078235
1,2.832164878
2,3.645078235
3,3.94610823
4,3.94610823
5,3.645078235
6,1.877922369
7,3.94610823
8,3.94610823
9,3.94610823
10,3.16795698
11,3.344048239
12,2.799980195
13,3.94610823
14,3.94610823
15,3.94610823
16,3.468986976
17,3.468986976
18,3.94610823
19,3.94610823
20,3.94610823
21,3.94610823
22,3.94610823
23,3.94610823
24,3.94610823
25,2.741988248
26,3.468986976
27,3.94610823
28,3.468986976
29,2.741988248
30,3.94610823
31,3.94610823
32,3.94610823
33,3.94610823
34,3.94610823
35,3.94610823
36,3.94610823
37,3.94610823
38,3.94610823
39,2.832164878
40,3.468986976
41,3.94610823
42,2.832164878
43,2.991865721
44,3.645078235
45,3.94610823
46,3.645078235
47,3.94610823
48,3.94610823
49,3.94610823
50,3.94610823
51,3.94610823
52,3.468986976
53,3.10101019
54,3.16795698
55,3.94610823
56,3.94610823
57,3.94610823
58,3.94610823
59,3.16795698
60,3.247138226
61,3.94610823
62,3.94610823
63,2.60368555
64,3.344048239
65,3.645078235
66,3.94610823
67,3.94610823
68,3.94610823
69,3.94610823
70,3.94610823
71,3.94610823
72,2.16795698
73,3.645078235
74,3.94610823
75,3.247138226
76,3.247138226
77,3.94610823
78,3.94610823
79,3.94610823
80,3.94610823
81,2.565896989
82,1.284295545
83,3.94610823
84,3.247138226
85,3.344048239
86,3.247138226
87,3.344048239
88,3.94610823
89,3.645078235
90,3.16795698
91,3.645078235
92,2.16795698
93,3.16795698
94,3.94610823
95,3.468986976
96,2.991865721
97,3.94610823
98,3.94610823
99,3.10101019
100,3.94610823
101,3.94610823
102,3.645078235
103,2.866926984
104,3.94610823
105,3.645078235
106,3.645078235
107,3.645078235
108,2.94610823
109,3.94610823
110,1.904715545
111,3.10101019
112,3.94610823
113,3.043018243
114,3.94610823
115,3.94610823
116,3.10101019
117,3.94610823
118,3.94610823
119,3.344048239
120,3.94610823
121,3.94610823
122,3.94610823
123,3.247138226
124,3.645078235
125,3.94610823
126,3.94610823
127,3.94610823
128,3.468986976
129,3.645078235
130,3.94610823
131,3.344048239
132,3.94610823
133,3.645078235
134,3.94610823
135,3.645078235
136,3.94610823
137,1.323894207
138,3.94610823
139,3.94610823
140,3.645078235
141,3.94610823
142,3.94610823
143,3.468986976
144,3.16795698
145,3.94610823
146,3.94610823
147,3.94610823
148,2.94610823
